,week_number,geography_code,functional_class,congestion_pct_x,weighted_avg_tti_x,congestion_pct_y,weighted_avg_tti_y,congestion_pct_xy_pct,weighted_avg_tti_xy_pct,Road,Name,county,county names,weeknum_Friday
80,10,ca_san_diego,3,0.1876125,1.28115,0.170961111,1.263078434,1.097398694,1.014307557,Arterial,ca_san_diego Arterial,san_diego,San Diego,3/1/2020
81,10,ca_san_francisco,2,0.397025,1.700333333,0.369073534,1.614928665,1.075734138,1.052884483,Freeway,ca_san_francisco Freeway,san_francisco,San Francisco,3/1/2020
82,10,ca_san_francisco,3,0.512304167,1.7004875,0.486592515,1.658407022,1.052840211,1.025374035,Arterial,ca_san_francisco Arterial,san_francisco,San Francisco,3/1/2020
83,10,ca_san_joaquin,1,0.035729167,1.1012375,0.03090216,1.101588503,1.15620287,0.999681366,Freeway,ca_san_joaquin Freeway,san_joaquin,San Joaquin,3/1/2020
84,10,ca_san_joaquin,2,0.067495833,1.134729167,0.061013465,1.115590895,1.10624489,1.017155278,Freeway,ca_san_joaquin Freeway,san_joaquin,San Joaquin,3/1/2020
85,10,ca_san_joaquin,3,0.0699,1.102695833,0.05686142,1.094359491,1.229304514,1.007617554,Arterial,ca_san_joaquin Arterial,san_joaquin,San Joaquin,3/1/2020
86,10,ca_san_luis_obispo,2,0.0033875,1.002045833,0.010887269,1.009026466,0.31114324,0.993081814,Freeway,ca_san_luis_obispo Freeway,san_luis_obispo,San Luis Obispo,3/1/2020
87,10,ca_san_luis_obispo,3,0.030683333,1.082925,0.030844174,1.085611227,0.994785367,0.997525609,Arterial,ca_san_luis_obispo Arterial,san_luis_obispo,San Luis Obispo,3/1/2020
88,10,ca_san_mateo,2,0.264625,1.479966667,0.257363657,1.451409606,1.028214328,1.019675397,Freeway,ca_san_mateo Freeway,san_mateo,San Mateo,3/1/2020
89,10,ca_san_mateo,3,0.206554167,1.2440125,0.194923573,1.239418943,1.059667458,1.003706218,Arterial,ca_san_mateo Arterial,san_mateo,San Mateo,3/1/2020
90,10,ca_santa_barbara,2,0.041966667,1.042295833,0.042797724,1.050169599,0.980581745,0.992502387,Freeway,ca_santa_barbara Freeway,santa_barbara,Santa Barbara,3/1/2020
91,10,ca_santa_barbara,3,0.065620833,1.070033333,0.06296848,1.072769637,1.042121922,0.997449309,Arterial,ca_santa_barbara Arterial,santa_barbara,Santa Barbara,3/1/2020
92,10,ca_santa_clara,2,0.207925,1.4394,0.191048457,1.408471296,1.088336454,1.021959059,Freeway,ca_santa_clara Freeway,santa_clara,Santa Clara,3/1/2020
93,10,ca_santa_clara,3,0.352945833,1.444791667,0.316357562,1.406958025,1.115654803,1.026890384,Arterial,ca_santa_clara Arterial,santa_clara,Santa Clara,3/1/2020
94,10,ca_santa_cruz,2,0.115533333,1.332658333,0.111234529,1.326956019,1.038646309,1.00429729,Freeway,ca_santa_cruz Freeway,santa_cruz,Santa Cruz,3/1/2020
95,10,ca_santa_cruz,3,0.124716667,1.163654167,0.11663858,1.159977971,1.069257414,1.003169195,Arterial,ca_santa_cruz Arterial,santa_cruz,Santa Cruz,3/1/2020
96,10,ca_shasta,1,0.001891667,1.0691,0.004597724,1.097233063,0.411435476,0.974359993,Freeway,ca_shasta Freeway,shasta,Shasta,3/1/2020
97,10,ca_shasta,2,0.007508333,1.066491667,0.009105478,1.07371277,0.824595151,0.993274641,Freeway,ca_shasta Freeway,shasta,Shasta,3/1/2020
98,10,ca_shasta,3,0.027470833,1.07455,0.026947492,1.079090085,1.01942077,0.995792673,Arterial,ca_shasta Arterial,shasta,Shasta,3/1/2020
